nom_boutique,adresse,ville,code_postal,departement,latitude,longitude,responsable
Free shop 78 _ 120,Rue du Général de Gaulle,Rambouillet,78120,Yvelines,48.64428,1.82345,1
Free shop 91 _ 121,CC Les Ulis 2,Les Ulis,91940,Essonne,48.67639,2.17206,1
Free shop 91 _ 122,CC Villebon 2,Villebon-sur-Yvette,91140,Essonne,48.70441,2.25333,1
Free shop 61 _ 123,29 bis Rue Bec Ham,L’Aigle,61300,Orne,48.76374,0.62584,1
Free shop 78 _ 124,CC Velizy_Villacoublay,Vélizy-Villacoublay,78140,Yvelines,48.78192,2.22137,1
Free shop 78 _ 125,Espace Saint-Quentin,Montigny-le-Bretonneux,78180,Yvelines,48.7831,2.04437,1
Free shop 78 _ 126,Rue au Pain,Versailles,78000,Yvelines,48.80618,2.13087,1
Free shop 92 _ 127,CC Les Trois Moulins,Issy-les-Moulineaux,92130,Hauts-de-Seine,48.82057,2.25183,1
Free shop 78 _ 128,CC Parly 2,Le Chesnay,78150,Yvelines,48.82658,2.11767,1
Free shop 78 _ 129,Grand Plaisir,Plaisir,78370,Yvelines,48.82893,1.96079,1
Free shop 14 _ 130,32 Rue Désiré Le Hoc,Deauville,14800,Calvados,49.3598,0.07895,1
Free shop 76 _ 131,CC Auchan Grand-Cap,Le Havre,76620,Seine-Maritime,49.52168,0.10932,1
Free shop 76 _ 132,62 Place de l’Hôtel de Ville,Le Havre,76600,Seine-Maritime,49.49367,0.10943,1
Free shop 76 _ 133,22 Rue Casimir Perier,Le Havre,76600,Seine-Maritime,49.49588,0.11085,1
Free shop 76 _ 134,CC Auchan La Lézarde,Montivilliers,76700,Seine-Maritime,49.52672,0.18997,1
Free shop 14 _ 135,4 Rue des Mathurins,Lisieux,14100,Calvados,49.14521,0.22439,1
Free shop 76 _ 136,CC Leclerc L’Océane,Gonfreville-L’Orcher,76700,Seine-Maritime,49.50762,0.22587,1
Free shop 27 _ 137,28 Rue de la République,Pont-Audemer,27500,Eure,49.35604,0.51521,1
Free shop 76 _ 138,26 bis Rue des Victoires,Yvetot,76190,Seine-Maritime,49.61798,0.75287,1
Free shop 76 _ 139,CC Carrefour Le Mesnil Roux,Barentin,76360,Seine-Maritime,49.53664,0.96711,3
Free shop 76 _ 140,154 Rue Charles Mouchel,Elbeuf,76500,Seine-Maritime,49.28973,1.00539,3
Free shop 76 _ 141,16 Rue Victor Hugo,Dieppe,76200,Seine-Maritime,49.92398,1.07516,3
Free shop 76 _ 142,CC Auchan Belvedère,Dieppe,76200,Seine-Maritime,49.90939,1.07822,3
Free shop 76 _ 143,4 Rue Guillaume Le Conquérant,Rouen,76000,Seine-Maritime,49.44306,1.09087,3
Free shop 76 _ 144,CC Carrefour La Vatine,Mont-Saint-Aignan,76130,Seine-Maritime,49.47128,1.09309,3
Free shop 76 _ 145,CC Carrefour,Tourville-la-Rivière,76410,Seine-Maritime,49.32904,1.09632,3
Free shop 27 _ 146,23 Rue du Docteur Oursel,Evreux,27000,Eure,49.02603,1.14687,3
Free shop 27 _ 147,31 Rue du Général de Gaulle,Louviers,27400,Eure,49.21087,1.16734,3
Free shop 27 _ 148,CC Carrefour,Evreux,27930,Eure,49.01361,1.17293,3
Free shop 76 _ 149,35 Rue Charles Morin,Eu,76260,Seine-Maritime,50.05123,1.42064,3
Free shop 27 _ 150,21 Rue Saint-Jacques,Vernon,27200,Eure,49.09194,1.48567,3
Free shop 78 _ 151,Centre Commercial Porte de Normandie,Buchelay,78200,Yvelines,48.98065,1.68522,3
Free shop 78 _ 152,CC Carrefour,Chambourcy,78240,Yvelines,48.90908,2.03394,3
Free shop 78 _ 153,CC Carrefour,Montesson,78360,Yvelines,48.92792,2.1447,3
Free shop 78 _ 154,CC Carrefour de Sartrouville,Sartrouville,78500,Yvelines,48.94633,2.19686,3
Free shop 92 _ 155,CC Quatre-Temps,Puteaux,92800,Hauts-de-Seine,48.89079,2.23732,3
Free shop 41 _ 156,Boulevard de La Plaine,Manosque,4100,Alpes-de-Haute-Provence,43.83176,5.78407,3
Free shop 84 _ 157,CC La Rode,L'Isle sur la Sorgue,84800,Vaucluse,43.9307,5.062,3
Free shop 38 _ 158,CC Comboire,Echirolles,38130,Isère,45.14975,5.69335,3
Free shop 38 _ 159,CC Grand-Place,Grenoble,38100,Isère,45.15825,5.73229,1
Free shop 32 _ 160,CC Vichy,Vichy,3200,Allier,46.12616,3.42285,1
Free shop 67 _ 161,10 Rue des Grandes Arcades,Strasbourg,67065,Bas-Rhin,48.58286,7.74695,1
